Beginning 100000 episodes of Training
100 100000 -486.18 -486.18 5.14118003845
200 100000 -473.225 -460.27 5.02424907684
300 100000 -468.42 -458.81 5.10782384872
400 100000 -466.3775 -460.25 6.44960904121
500 100000 -465.338 -461.18 7.20654606819
600 100000 -465.056666667 -463.65 5.96860408783
700 100000 -464.348571429 -460.1 6.99561405182
800 100000 -464.23875 -463.47 7.59278202057
900 100000 -463.582222222 -458.33 6.2991797924
1000 100000 -463.61 -463.86 7.64256286621
1100 100000 -463.990909091 -467.8 6.96905994415
1200 100000 -463.391666667 -456.8 6.64573097229
1300 100000 -462.823846154 -456.01 8.70941781998
1400 100000 -462.652857143 -460.43 6.3844230175
1500 100000 -462.347333333 -458.07 6.99086809158
1600 100000 -462.423125 -463.56 8.79926419258
1700 100000 -462.514117647 -463.97 7.33077788353
1800 100000 -462.875 -469.01 8.10242795944
1900 100000 -462.981578947 -464.9 7.38206887245
2000 100000 -462.9775 -462.9 9.29873204231
2100 100000 -462.85047619 -460.31 7.24001193047
2200 100000 -462.782272727 -461.35 7.24156117439
2300 100000 -462.751304348 -462.07 8.37008309364
2400 100000 -462.591666667 -458.92 8.66217899323
2500 100000 -462.6736 -464.64 7.98198914528
2600 100000 -462.606923077 -460.94 7.43363595009
2700 100000 -462.747777778 -466.41 7.37127709389
2800 100000 -462.491428571 -455.57 6.41051101685
2900 100000 -462.476206897 -462.05 6.88785195351
3000 100000 -462.498 -463.13 8.8935880661
3100 100000 -462.509032258 -462.84 8.24485993385
3200 100000 -462.5803125 -464.79 7.35580992699
3300 100000 -462.950606061 -474.8 7.28726220131
3400 100000 -462.932058824 -462.32 7.40616202354
3500 100000 -463.094 -468.6 7.14725208282
3600 100000 -463.085555556 -462.79 10.7666561604
3700 100000 -463.090810811 -463.28 6.82517194748
3800 100000 -462.983947368 -459.03 8.30103802681
3900 100000 -463.005897436 -463.84 11.326584816
4000 100000 -462.94575 -460.6 11.6414840221
4100 100000 -462.870487805 -459.86 10.8651080132
4200 100000 -462.967142857 -466.93 11.3979990482
4300 100000 -462.960930233 -462.7 11.138915062
4400 100000 -463.035454545 -466.24 11.736905098
4500 100000 -463.070666667 -464.62 14.9061670303
4600 100000 -463.147173913 -466.59 11.4417951107
4700 100000 -463.388723404 -474.5 12.7162520885
4800 100000 -463.381041667 -463.02 11.7804741859
4900 100000 -463.406326531 -464.62 10.8931670189
5000 100000 -463.4242 -464.3 11.2284169197
5100 100000 -463.521764706 -468.4 10.4786520004
5200 100000 -463.432884615 -458.9 11.4370188713
5300 100000 -463.384339623 -460.86 10.5179898739
5400 100000 -463.352222222 -461.65 10.2410309315
5500 100000 -463.303818182 -460.69 17.0194859505
5600 100000 -463.262142857 -460.97 11.5694739819
5700 100000 -463.141578947 -456.39 11.1994040012
5800 100000 -463.120344828 -461.91 11.3471369743
5900 100000 -463.063050847 -459.74 10.6652889252
6000 100000 -463.012666667 -460.04 12.5134489536
6100 100000 -462.939672131 -458.56 11.3375661373
6200 100000 -462.863387097 -458.21 12.2103919983
6300 100000 -462.841428571 -461.48 9.96804594994
6400 100000 -462.77109375 -458.34 11.8448269367
6500 100000 -462.752307692 -461.55 10.0342669487
6600 100000 -462.735757576 -461.66 10.9860219955
6700 100000 -462.744477612 -463.32 10.6698100567
6800 100000 -462.713676471 -460.65 16.6558530331
6900 100000 -462.741449275 -464.63 10.5438020229
7000 100000 -462.668857143 -457.66 9.85043311119
7100 100000 -462.725070423 -466.66 10.9829938412
7200 100000 -462.675833333 -459.18 9.63961100578
7300 100000 -462.670547945 -462.29 10.2080149651
Beginning 100000 episodes of Training
100 100000 -473.79 -473.79 3.79739308357
200 100000 -467.865 -461.94 4.4219019413
300 100000 -464.866666667 -458.87 4.61074495316
400 100000 -463.935 -461.14 5.48283815384
500 100000 -463.038 -459.45 5.02997589111
600 100000 -462.146666667 -457.69 4.42985391617
700 100000 -462.38 -463.78 4.86566996574
800 100000 -462.30375 -461.77 4.8381998539
900 100000 -461.764444444 -457.45 5.36509799957
1000 100000 -461.421 -458.33 4.95742106438
1100 100000 -461.452727273 -461.77 6.10923194885
1200 100000 -461.695833333 -464.37 5.27732491493
1300 100000 -461.787692308 -462.89 5.94673299789
1400 100000 -461.560714286 -458.61 4.57991313934
1500 100000 -461.534666667 -461.17 4.65410614014
1600 100000 -461.5625 -461.98 6.18781900406
1700 100000 -461.340588235 -457.79 4.71831202507
1800 100000 -461.296666667 -460.55 4.98063087463
1900 100000 -461.465263158 -464.5 5.12613415718
2000 100000 -461.5775 -463.71 6.64731407166
2100 100000 -461.789047619 -466.02 5.97617506981
2200 100000 -461.69 -459.61 4.43194198608
2300 100000 -461.64826087 -460.73 4.68316411972
2400 100000 -461.753333333 -464.17 7.4581091404
2500 100000 -461.5596 -456.91 4.9303150177
2600 100000 -461.324615385 -455.45 4.67374920845
2700 100000 -461.557037037 -467.6 5.82835888863
2800 100000 -461.699642857 -465.55 5.25497198105
2900 100000 -461.690689655 -461.44 5.4614238739
3000 100000 -461.787666667 -464.6 4.7218940258
3100 100000 -461.914516129 -465.72 7.28658509254
3200 100000 -461.966875 -463.59 6.0489358902
3300 100000 -461.957878788 -461.67 6.27879810333
3400 100000 -461.966176471 -462.24 6.38621115685
3500 100000 -461.956285714 -461.62 4.97129797935
3600 100000 -461.923055556 -460.76 5.11195015907
3700 100000 -462.082972973 -467.84 8.38386201859
3800 100000 -462.101578947 -462.79 6.65866112709
3900 100000 -462.180512821 -465.18 7.18584108353
4000 100000 -462.23075 -464.19 6.44865012169
4100 100000 -462.27195122 -463.92 7.09416794777
4200 100000 -462.230952381 -460.55 6.84061980247
4300 100000 -462.150232558 -458.76 6.82351589203
4400 100000 -462.241590909 -466.17 6.85942196846
4500 100000 -462.202 -460.46 4.86740088463
4600 100000 -462.174782609 -460.95 8.3980948925
4700 100000 -462.240851064 -465.28 5.9082801342
4800 100000 -462.208333333 -460.68 5.18687605858
4900 100000 -462.291836735 -466.3 6.36756205559
5000 100000 -462.3158 -463.49 5.96766614914
5100 100000 -462.294313725 -461.22 6.29163908958
5200 100000 -462.453269231 -470.56 5.59806394577
5300 100000 -462.419622642 -460.67 6.84457302094
5400 100000 -462.519444444 -467.81 7.870221138
5500 100000 -462.55 -464.2 7.61257886887
5600 100000 -462.568035714 -463.56 6.52779197693
5700 100000 -462.532631579 -460.55 10.7527878284
5800 100000 -462.657413793 -469.77 7.39906787872
5900 100000 -462.726610169 -466.74 10.2282018661
6000 100000 -462.806166667 -467.5 7.59415102005
6100 100000 -462.961147541 -472.26 7.94821286201
6200 100000 -462.958387097 -462.79 6.55608296394
6300 100000 -462.96984127 -463.68 6.05294203758
6400 100000 -462.92140625 -459.87 6.64424204826
6500 100000 -462.891230769 -460.96 6.58231902122
6600 100000 -462.891060606 -462.88 6.18553304672
6700 100000 -462.92641791 -465.26 6.58068299294
6800 100000 -462.960441176 -465.24 6.26636385918
6900 100000 -462.942898551 -461.75 10.7456250191
7000 100000 -462.971285714 -464.93 5.87190914154
7100 100000 -463.018028169 -466.29 7.69140100479
7200 100000 -463.038194444 -464.47 6.84492993355
7300 100000 -462.894931507 -452.58 5.37929582596
7400 100000 -462.890810811 -462.59 6.01898598671
7500 100000 -462.967466667 -468.64 5.86160612106
7600 100000 -462.939210526 -460.82 5.15271615982
7700 100000 -462.925584416 -461.89 6.39880895615
7800 100000 -462.867692308 -458.41 5.21605920792
7900 100000 -462.826835443 -459.64 5.8127219677
8000 100000 -462.824375 -462.63 5.28586912155
8100 100000 -462.82382716 -462.78 6.70601511002
8200 100000 -462.777926829 -459.06 5.13784599304
8300 100000 -462.770481928 -462.16 6.17105412483
8400 100000 -462.796785714 -464.98 6.24767494202
8500 100000 -462.768470588 -460.39 11.9502291679
8600 100000 -462.688255814 -455.87 5.09300398827
8700 100000 -462.750229885 -468.08 6.91151595116
8800 100000 -462.768636364 -464.37 7.02611112595
8900 100000 -462.785617978 -464.28 6.81630110741
9000 100000 -462.749666667 -459.55 5.84041500092
9100 100000 -462.759450549 -463.64 6.81482815742
9200 100000 -462.750543478 -461.94 6.32382297516
9300 100000 -462.759677419 -463.6 5.97015404701
9400 100000 -462.703510638 -457.48 6.2119641304
9500 100000 -462.679368421 -460.41 6.80688881874
9600 100000 -462.707604167 -465.39 6.11668515205
9700 100000 -462.673814433 -459.43 6.54464888573
9800 100000 -462.610918367 -456.51 5.87983584404
9900 100000 -462.637777778 -465.27 6.09879088402
10000 100000 -462.6281 -461.67 6.21278905869
10100 100000 -462.582970297 -458.07 784.049222946
10200 100000 -462.612058824 -465.55 7.31773400307
10300 100000 -462.605631068 -461.95 153.797671795
10400 100000 -462.565192308 -458.4 8.37111997604
10500 100000 -462.632952381 -469.68 8.0822429657
10600 100000 -462.641037736 -463.49 8.44430613518
10700 100000 -462.68364486 -467.2 9.74039816856
10800 100000 -462.660740741 -460.21 8.66038608551
10900 100000 -462.682844037 -465.07 10.1495530605
11000 100000 -462.685545455 -462.98 8.82089805603
11100 100000 -462.67009009 -460.97 9.47077393532
11200 100000 -462.666071429 -462.22 7.39365291595
11300 100000 -462.720442478 -468.81 6.6579580307
11400 100000 -462.720614035 -462.74 6.68571591377
11500 100000 -462.690695652 -459.28 6.56794905663
11600 100000 -462.703534483 -464.18 8.05406308174
11700 100000 -462.745470085 -467.61 7.79651212692
11800 100000 -462.729152542 -460.82 7.76716208458
11900 100000 -462.765042017 -467.0 7.07415103912
12000 100000 -462.756333333 -461.72 7.21228194237
12100 100000 -462.750991736 -462.11 7.30397891998
12200 100000 -462.721311475 -459.13 7.43527698517
12300 100000 -462.699512195 -460.04 7.54616093636
12400 100000 -462.698064516 -462.52 7.06015086174
12500 100000 -462.66728 -458.85 8.51236009598
12600 100000 -462.743730159 -472.3 9.13627886772
12700 100000 -462.74 -462.27 400.448154211
12800 100000 -462.803203125 -470.83 10.1390128136
12900 100000 -462.78255814 -460.14 6.98444199562
13000 100000 -462.816538462 -467.2 6.82451891899
13100 100000 -462.820458015 -463.33 7.35583400726
13200 100000 -462.797121212 -459.74 6.38467502594
13300 100000 -462.815037594 -465.18 7.7675640583
13400 100000 -462.853656716 -467.99 7.55182909966
13500 100000 -462.882888889 -466.8 8.39828205109
13600 100000 -462.833970588 -456.23 8.35562300682
13700 100000 -462.834963504 -462.97 7.75186514854
13800 100000 -462.825507246 -461.53 7.96790909767
13900 100000 -462.835899281 -464.27 8.14643502235
14000 100000 -462.920571429 -474.69 8.87050890923
14100 100000 -462.933049645 -464.68 7.65072822571
14200 100000 -462.94556338 -464.71 7.92842507362
14300 100000 -462.933846154 -461.27 8.79471898079
14400 100000 -462.947638889 -464.92 10.0525131226
14500 100000 -462.877655172 -452.8 7.7225420475
14600 100000 -462.888835616 -464.51 9.43402695656
14700 100000 -462.903741497 -465.08 10.2857978344
14800 100000 -462.82972973 -451.95 8.39703297615
14900 100000 -462.822550336 -461.76 9.40713214874
15000 100000 -462.827666667 -463.59 9.77628707886
15100 100000 -462.793576159 -457.68 9.18342590332
15200 100000 -462.741644737 -454.9 9.11334300041
15300 100000 -462.771895425 -467.37 10.7732930183
15400 100000 -462.691883117 -450.45 9.74076008797
15500 100000 -462.66883871 -459.12 1246.81628513
15600 100000 -462.644615385 -458.89 9.38161802292
15700 100000 -462.609235669 -457.09 9.91231489182
15800 100000 -462.580886076 -458.13 11.7053511143
15900 100000 -462.548993711 -457.51 9.20027685165
16000 100000 -462.580625 -467.61 10.6202340126
16100 100000 -462.559751553 -459.22 10.1814367771
16200 100000 -462.544135802 -460.03 9.81738400459
16300 100000 -462.529325153 -460.13 10.9846549034
16400 100000 -462.507195122 -458.9 10.3977599144
16500 100000 -462.511272727 -463.18 9.52810811996
16600 100000 -462.50939759 -462.2 9.42394208908
16700 100000 -462.508083832 -462.29 9.22209906578
16800 100000 -462.515595238 -463.77 10.1977360249
16900 100000 -462.52
