Beginning 24000 episodes of Training
100 24000 -521.3 -521.3 2.05176401138
200 24000 -521.465 -521.63 2.43615412712
300 24000 -521.803333333 -522.48 2.45037007332
400 24000 -521.2025 -519.4 2.33767294884
500 24000 -521.542 -522.9 2.84370398521
600 24000 -520.448333333 -514.98 2.30586290359
700 24000 -519.562857143 -514.25 1.89974498749
800 24000 -519.405 -518.3 2.61683416367
900 24000 -519.361111111 -519.01 2.45104193687
1000 24000 -519.325 -519.0 2.43268013
1100 24000 -519.280909091 -518.84 2.83456397057
1200 24000 -519.284166667 -519.32 2.33605384827
1300 24000 -519.339230769 -520.0 2.23952317238
1400 24000 -518.472142857 -507.2 2.89037013054
1500 24000 -518.449333333 -518.13 2.28333497047
1600 24000 -518.523125 -519.63 2.28419494629
1700 24000 -518.661764706 -520.88 3.34336781502
1800 24000 -518.548333333 -516.62 2.14928483963
1900 24000 -518.432631579 -516.35 2.42461800575
2000 24000 -518.4695 -519.17 2.59626507759
2100 24000 -518.361904762 -516.21 2.16447401047
2200 24000 -518.324545455 -517.54 2.30948615074
2300 24000 -518.287826087 -517.48 3.48544096947
2400 24000 -518.10125 -513.81 2.19677996635
2500 24000 -517.98 -515.07 12.648993969
2600 24000 -518.047692308 -519.74 2.70465707779
2700 24000 -517.895185185 -513.93 2.27106308937
2800 24000 -517.855 -516.77 2.29039502144
2900 24000 -517.837241379 -517.34 2.46447396278
3000 24000 -517.228666667 -499.58 2.03636193275
3100 24000 -517.223870968 -517.08 4.30041503906
3200 24000 -517.0853125 -512.79 2.37189698219
3300 24000 -517.126363636 -518.44 2.5450720787
3400 24000 -517.122941176 -517.01 2.40270900726
3500 24000 -517.036571429 -514.1 2.19628405571
3600 24000 -516.975 -514.82 2.24763298035
3700 24000 -516.966486486 -516.66 2.3897588253
3800 24000 -516.863684211 -513.06 2.28309392929
3900 24000 -516.869487179 -517.09 2.49771595001
4000 24000 -516.77025 -512.9 2.21051716805
4100 24000 -516.665609756 -512.48 2.20351099968
4200 24000 -516.604047619 -514.08 3.98392009735
4300 24000 -516.605348837 -516.66 2.44748401642
4400 24000 -516.487727273 -511.43 2.08857798576
4500 24000 -516.447111111 -514.66 2.18102884293
4600 24000 -516.475217391 -517.74 2.56792402267
4700 24000 -516.515319149 -518.36 2.50819301605
4800 24000 -516.579166667 -519.58 2.5663831234
4900 24000 -516.527142857 -514.03 18.1032128334
5000 24000 -516.4728 -513.81 2.26821088791
5100 24000 -516.124117647 -498.69 2.65561795235
5200 24000 -515.866153846 -502.71 2.20867300034
5300 24000 -515.611320755 -502.36 4.35795903206
5400 24000 -515.626481481 -516.43 2.44839000702
5500 24000 -515.603090909 -514.34 3.08299589157
5600 24000 -515.42875 -505.84 2.64315319061
5700 24000 -515.428245614 -515.4 2.89355397224
5800 24000 -515.395 -513.5 2.68768906593
5900 24000 -515.346949153 -512.56 2.65998387337
6000 24000 -515.448833333 -521.46 2.78279685974
6100 24000 -515.415081967 -513.39 2.60400795937
6200 24000 -515.38 -513.24 2.64393615723
6300 24000 -515.455238095 -520.12 3.40159606934
6400 24000 -515.25171875 -502.43 2.23369407654
6500 24000 -515.188769231 -511.16 2.13524007797
6600 24000 -515.007272727 -503.21 2.96790599823
6700 24000 -515.035074627 -516.87 2.52432894707
6800 24000 -515.020294118 -514.03 2.92982792854
6900 24000 -514.792028986 -499.27 2.09319210052
7000 24000 -514.746857143 -511.63 2.99434018135
7100 24000 -514.75971831 -515.66 3.20725393295
7200 24000 -514.601805556 -503.39 3.80022382736
7300 24000 -514.616575342 -515.68 27.2989649773
7400 24000 -514.331216216 -493.5 2.82165908813
7500 24000 -514.325333333 -513.89 2.93949198723
7600 24000 -514.273157895 -510.36 3.29851984978
7700 24000 -514.098831169 -500.85 2.49278092384
7800 24000 -514.105384615 -514.61 3.83202409744
7900 24000 -514.101392405 -513.79 2.82825899124
8000 24000 -513.997125 -505.76 3.24948000908
8100 24000 -513.977283951 -512.39 2.38214111328
8200 24000 -513.893170732 -507.08 2.69561696053
8300 24000 -513.933855422 -517.27 3.39897298813
8400 24000 -513.85952381 -507.69 2.90151691437
8500 24000 -513.883058824 -515.86 2.92533898354
8600 24000 -513.888255814 -514.33 3.14920806885
8700 24000 -513.876206897 -512.84 2.30742192268
8800 24000 -513.924886364 -518.16 3.40741586685
8900 24000 -513.932696629 -514.62 2.41083788872
9000 24000 -513.955666667 -516.0 3.25362491608
9100 24000 -513.92010989 -510.72 2.06046795845
9200 24000 -513.891847826 -511.32 2.89845991135
9300 24000 -513.892688172 -513.97 2.34624004364
9400 24000 -513.935212766 -517.89 3.44555902481
9500 24000 -513.982 -518.38 2.77575397491
9600 24000 -513.865625 -502.81 3.07544493675
9700 24000 -513.906597938 -517.84 32.3762171268
9800 24000 -513.781632653 -501.66 2.44941210747
9900 24000 -513.664141414 -502.15 2.78228998184
10000 24000 -513.6508 -512.33 2.18847179413
10100 24000 -513.634158416 -511.97 2.25704789162
10200 24000 -513.620392157 -512.23 2.26076483727
10300 24000 -513.538932039 -505.23 2.48831582069
10400 24000 -513.563942308 -516.14 2.49114394188
10500 24000 -513.582 -515.46 2.47591805458
10600 24000 -513.557735849 -511.01 2.23382997513
10700 24000 -513.378037383 -494.33 2.37757778168
10800 24000 -513.335092593 -508.74 2.0728199482
10900 24000 -513.299174312 -509.42 2.06159114838
11000 24000 -513.220909091 -504.69 2.45529508591
11100 24000 -513.148378378 -505.17 3.07857108116
11200 24000 -513.184196429 -517.16 2.769769907
11300 24000 -513.031858407 -495.97 2.7186331749
11400 24000 -512.984736842 -507.66 3.60556292534
11500 24000 -512.886086957 -501.64 2.2797088623
11600 24000 -512.900258621 -514.53 2.99828386307
11700 24000 -512.741111111 -494.28 2.62170696259
11800 24000 -512.626016949 -499.16 2.25458192825
11900 24000 -512.604537815 -510.07 2.79665184021
12000 24000 -512.628666667 -515.5 2.85171294212
12100 24000 -512.484628099 -495.2 34.2991578579
12200 24000 -512.524016393 -517.29 3.28950595856
12300 24000 -512.39796748 -497.02 1.87178516388
12400 24000 -512.358064516 -507.45 3.33503890038
12500 24000 -512.31672 -507.19 1.84849286079
12600 24000 -512.255952381 -504.66 3.19489598274
12700 24000 -512.180787402 -502.71 2.26105093956
12800 24000 -512.191640625 -513.57 3.14123892784
12900 24000 -512.055968992 -494.69 2.39347696304
13000 24000 -512.019461538 -507.31 3.25669193268
13100 24000 -511.958778626 -504.07 2.46407079697
13200 24000 -511.799393939 -490.92 2.45190787315
13300 24000 -511.566992481 -480.89 2.31269288063
13400 24000 -511.496865672 -502.17 3.02919316292
13500 24000 -511.206222222 -472.26 2.34813094139
13600 24000 -511.144044118 -502.75 2.78837704659
13700 24000 -511.177810219 -515.77 2.81441688538
13800 24000 -511.090217391 -499.09 2.09382295609
13900 24000 -510.946402878 -491.1 3.10755181313
